"No.","Time","Source","Destination","Protocol","Length","Info"
"488","25.622278","10.192.157.113","10.192.157.147","DNS","445","Standard query response 0x7f59 A www.doubao.com CNAME www.doubao.com.bytedns3.com CNAME www.doubao.com.w.cdngslb.com CNAME www.doubao.com.queniurc.com A 119.6.222.146 A 101.206.206.155 A 42.48.120.10 A 112.192.22.68 A 119.6.222.147 A 101.206.206.156 A 42.48.120.11 A 112.192.22.69 A 119.6.222.148 A 101.206.206.157 A 42.48.120.12 A 112.192.22.70 A 119.6.222.149 A 101.206.206.158 A 42.48.120.13 A 112.192.22.67"
"492","25.622278","10.192.157.113","10.192.157.147","DNS","189","Standard query response 0x3a8e AAAA www.doubao.com CNAME www.doubao.com.bytedns3.com CNAME www.doubao.com.w.cdngslb.com CNAME www.doubao.com.queniurc.com"
"497","25.646870","10.192.157.147","10.192.157.113","DNS","92","Standard query 0xe422 AAAA mobile.events.data.microsoft.com"
"499","25.674103","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0xe422 AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"542","26.269299","10.192.157.147","10.192.157.113","DNS","92","Standard query 0x623b AAAA mobile.events.data.microsoft.com"
"543","26.312095","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","112","Standard query 0x623b AAAA mobile.events.data.microsoft.com"
"545","26.333094","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0x623b AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"549","26.374849","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","219","Standard query response 0x623b AAAA mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdcus20.centralus.cloudapp.azure.com"
"663","29.505011","10.192.157.147","10.192.157.113","DNS","72","Standard query 0xd250 A k.clarity.ms"
"664","29.505679","10.192.157.147","10.192.157.113","DNS","72","Standard query 0x0b11 AAAA k.clarity.ms"
"665","29.535092","10.192.157.113","10.192.157.147","DNS","139","Standard query response 0x0b11 AAAA k.clarity.ms CNAME vmss-clarity-ingest-eus2-e.eastus2.cloudapp.azure.com"
"666","29.537075","10.192.157.113","10.192.157.147","DNS","155","Standard query response 0xd250 A k.clarity.ms CNAME vmss-clarity-ingest-eus2-e.eastus2.cloudapp.azure.com A 172.175.38.6"
"776","39.383913","10.192.157.147","10.192.157.113","DNS","79","Standard query 0x43f8 A pc-mon.zijieapi.com"
"777","39.384047","10.192.157.147","10.192.157.113","DNS","79","Standard query 0x1b0a AAAA pc-mon.zijieapi.com"
"778","39.412161","10.192.157.113","10.192.157.147","DNS","207","Standard query response 0x1b0a AAAA pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com"
"779","39.412161","10.192.157.113","10.192.157.147","DNS","271","Standard query response 0x43f8 A pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com A 59.80.57.36 A 59.80.57.39 A 14.204.96.153 A 59.80.57.34"
"886","51.547977","10.192.157.147","10.192.157.113","DNS","76","Standard query 0x6b79 A tab.video.qq.com"
"887","51.548108","10.192.157.147","10.192.157.113","DNS","76","Standard query 0x0cb8 AAAA tab.video.qq.com"
"888","51.583659","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","96","Standard query 0x0cb8 AAAA tab.video.qq.com"
"889","51.583976","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","96","Standard query 0x6b79 A tab.video.qq.com"
